,Unnamed: 0,road,km,type,name,length,condition,lat,lon,model_type,id
699,350.0,N1,302.237,Box Culvert,LOHAGORA L.S BOX CULVERT,3.0,A,22.0078200503225,92.0927765812903,bridge,699
700,,N1,301.3215,link,link,1838.0,A,22.0141590390832,92.0971021747188,link,700
701,351.0,N1,300.406,Box Culvert,AMIRABAD LOHAGORA BOX CULVERT,10.0,A,22.0204980278439,92.1014277681473,bridge,701
702,,N1,300.081,link,link,656.0,A,22.02325128767055,92.10206225626496,link,702
703,352.0,N1,299.756,Box Culvert,AMIRABAD LOHAGOR BOX CULVERT,2.0,A,22.0260045474972,92.1026967443826,bridge,703
704,,N1,299.595,link,link,357.0,A,22.02735295556675,92.10306303582766,link,704
705,353.0,N1,299.434,PC Girder Bridge,AMIRABAD PC GIDER BRIDGE,68.8,A,22.0287013636363,92.1034293272727,bridge,705
706,,N1,299.2455,link,link,413.0,A,22.030283124146152,92.10377699696966,link,706
707,354.0,N1,299.057,Box Culvert,AMIRABAD BOX CULVERT,2.5,A,22.031864884656,92.1041246666666,bridge,707
708,,N1,298.731,link,link,654.0,A,22.03472736861665,92.10405688797246,link,708
709,355.0,N1,298.405,Box Culvert,TALOCKDNR PARA BOX CULVERT,2.5,A,22.0375898525773,92.1039891092783,bridge,709
710,,N1,297.98699999999997,link,link,844.0,A,22.040843054597453,92.1055260311097,link,710
711,356.0,N1,297.569,Box Culvert,BARO AWLIA(R,13.64,A,22.0440962566176,92.1070629529411,bridge,711
712,,N1,297.30150000000003,link,link,545.0,A,22.04623379004,92.10762840243865,link,712
713,357.0,N1,297.034,Box Culvert,PODUA BAZAR BOX CULVERT,6.0,A,22.0483713234624,92.1081938519362,bridge,713
714,,N1,296.8405,link,link,396.0,A,22.0501504826989,92.1086276203229,link,714
715,358.0,N1,296.647,Box Culvert,PODUA BAZAR BOX CULVERT,12.6,A,22.0519296419354,92.1090613887096,bridge,715
716,,N1,296.39099999999996,link,link,522.0,A,22.05421737873465,92.10907342396645,link,716
717,359.0,N1,296.135,Box Culvert,PODUA NOYA PARA BOX CULVERT,8.2,A,22.0565051155339,92.1090854592233,bridge,717
718,,N1,295.88,link,link,515.0,A,22.05869563276695,92.10840941461166,link,718
719,360.0,N1,295.625,Box Culvert,NOYA PARA BOX CULVERT,2.5,A,22.06088615,92.10773337,bridge,719
720,,N1,295.46000000000004,link,link,351.0,A,22.0623214328947,92.1074197397368,link,720
721,361.0,N1,295.295,PC Girder Bridge,KHORIANAGAR BRIDGE,38.8,A,22.0637567157894,92.1071061094736,bridge,721
722,,N1,295.0325,link,link,545.0,A,22.06583333580985,92.10632955650355,link,722
723,362.0,N1,294.77,Box Culvert,THAKUR DIGI BOX CULVERT,2.0,A,22.0679099558303,92.1055530035335,bridge,723
724,,N1,294.652,link,link,252.0,A,22.0687350185931,92.10491421363115,link,724
